id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
182, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
183, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
184, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
185, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
186, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
187, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
188, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
189, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
190, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
191, 0.3260, 0.3260, 0.2214, 0.1960, 0.1481, 0.1421, 0.1412, 0.1399, 0.1489, 0.1742, 0.1939
192, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
193, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
194, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
195, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
196, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
197, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
198, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
199, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
200, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
201, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
202, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
203, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
204, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
205, 0.3260, 0.3260, 0.2214, 0.1987, 0.1912, 0.1869, 0.2298, 0.2626, 0.4044, 0.4979, 0.5148
206, 0.3260, 0.3260, 0.2541, 0.2313, 0.2786, 0.3007, 0.4165, 0.5241, 0.5552, 0.5754, 0.5720
207, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
208, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
209, 0.3260, 0.3260, 0.2214, 0.1962, 0.2046, 0.2210, 0.2432, 0.2639, 0.4025, 0.4900, 0.5378
210, 0.3260, 0.3260, 0.2214, 0.2015, 0.2093, 0.2193, 0.2514, 0.2681, 0.4066, 0.4861, 0.5242
211, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
